CountryName,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Population,CapitalLatitude,CapitalLongitude
Guinea,"17,592",,102 ,,"2,031","13,377,852",9.5,-13.7
Mauritania,"17,410",,442 ,,216,"4,733,772",18.066666666666666,-15.966667000000001
Eswatini,"17,225",,659 ,,944,"1,168,498",124.0,124.0
French Guiana,"16,764",,87 ,,"6,682","304,011",125.0,125.0
Gabon,"16,660",,96 ,,"1,981","2,261,930",0.38333333333333336,9.45
Syria,"16,328",,"1,090 ",,"4,439","17,793,554",33.5,36.3
Cabo Verde,"15,986",,155 ,,487,"560,176",128.0,128.0
Réunion,"13,801",,71 ,,"1,341","899,752",129.0,129.0
Tajikistan,"13,308",,90 ,,0,"9,685,375",38.55,68.766667
Haiti,"12,632",,250 ,,"2,348","11,498,882",18.53333333333333,-72.333333
Belize,"12,370",,316 ,,67,"402,617",17.25,-88.766667
